"_id",count,place.0.name,place.0.place_type,place.0.bounding_box.coordinates.0.0.0,place.0.bounding_box.coordinates.0.0.1,place.0.bounding_box.coordinates.0.1.0,place.0.bounding_box.coordinates.0.1.1,place.0.bounding_box.coordinates.0.2.0,place.0.bounding_box.coordinates.0.2.1,place.0.bounding_box.coordinates.0.3.0,place.0.bounding_box.coordinates.0.3.1,place.0.bounding_box.type
867ccb9c2898ece7,3,"Tullytown, PA",city,-74.828648,40.126541,-74.828648,40.156366,-74.79521,40.156366,-74.79521,40.126541,Polygon
003b1da214937fcf,3,"Cedar Knolls, NJ",city,-74.474354,40.805756,-74.474354,40.838165,-74.440721,40.838165,-74.440721,40.805756,Polygon
780479db3d3354b2,3,"Midtown East, Manhattan",neighborhood,-73.976074,40.747134,-73.976074,40.755859,-73.964383,40.755859,-73.964383,40.747134,Polygon
0a0a7f97d9e6791d,3,"Barnum Island, NY",city,-73.656895,40.595832,-73.656895,40.617525,-73.640052,40.617525,-73.640052,40.595832,Polygon
1c3eb349fc6d3929,3,"Ridge, NY",city,-72.929013,40.865881,-72.929013,40.947283,-72.839396,40.947283,-72.839396,40.865881,Polygon
1ecfb5d7e57b320b,3,"Pemberton Heights, NJ",city,-74.689182,39.945856,-74.689182,39.966798,-74.660796,39.966798,-74.660796,39.945856,Polygon
7c985bb5252c7aba,3,"Coventry, CT",city,-72.346786,41.757471,-72.346786,41.790774,-72.305475,41.790774,-72.305475,41.757471,Polygon
351a9bcfe8a9292b,3,"West Grove, PA",city,-75.836033,39.813587,-75.836033,39.827203,-75.820491,39.827203,-75.820491,39.813587,Polygon
014308ba305f6ab9,3,"Byram, CT",city,-73.660309,40.986703,-73.660309,41.013481,-73.643478,41.013481,-73.643478,40.986703,Polygon
485e9e98321c8fe1,3,"Wurtsboro, NY",city,-74.500914,41.565273,-74.500914,41.582438,-74.475435,41.582438,-74.475435,41.565273,Polygon
07d9e4acbd485000,3,New Jersey State House,poi,-74.769712,40.220469,-74.769712,40.220469,-74.769712,40.220469,-74.769712,40.220469,Polygon
01bd6137658765c3,3,"Victory Gardens, NJ",city,-74.557772,40.864776,-74.557772,40.883864,-74.524998,40.883864,-74.524998,40.864776,Polygon
d0e8df0d2ae26e16,3,"Old Tappan, NJ",city,-74.01043,40.995416,-74.01043,41.038003,-73.958937,41.038003,-73.958937,40.995416,Polygon
4e0df88099ca0cf5,3,"Upper Providence Township, PA",city,-75.432649,39.900925,-75.432649,39.963291,-75.364501,39.963291,-75.364501,39.900925,Polygon
cdc37bae2a45fc33,3,"North Valley Stream, NY",city,-73.726621,40.675855,-73.726621,40.696918,-73.679609,40.696918,-73.679609,40.675855,Polygon
07d9e3ae3f085000,3,Grand Lux Cafe,poi,-74.076324,40.91594,-74.076324,40.91594,-74.076324,40.91594,-74.076324,40.91594,Polygon
0f8ec0be7c4302fb,3,"Cobble Hill, Brooklyn",neighborhood,-74.008097,40.685452,-74.008097,40.692395,-73.992358,40.692395,-73.992358,40.685452,Polygon
2594e68f9a247a8e,3,"Glendale, Queens",neighborhood,-73.894389,40.683541,-73.894389,40.712207,-73.836968,40.712207,-73.836968,40.683541,Polygon
010ca148737eadcf,3,"Ipswich, MA",city,-70.884728,42.636915,-70.884728,42.712633,-70.810826,42.712633,-70.810826,42.636915,Polygon
01a334c123da44dc,3,"Mine Hill, NJ",city,-74.613017,40.861962,-74.613017,40.898312,-74.577794,40.898312,-74.577794,40.861962,Polygon
bbb67f65288aa86f,3,"Lido Beach, NY",city,-73.637602,40.58311,-73.637602,40.596903,-73.583734,40.596903,-73.583734,40.58311,Polygon
010cea6f5a910a2b,3,"Cranbury, NJ",city,-74.54946,40.288358,-74.54946,40.338744,-74.476519,40.338744,-74.476519,40.288358,Polygon
073dd6cd3c1af5f4,3,"Hockessin, DE",city,-75.724892,39.761505,-75.724892,39.813136,-75.634189,39.813136,-75.634189,39.761505,Polygon
0181f5817b287a1a,3,"Beattystown, NJ",city,-74.877979,40.801067,-74.877979,40.839542,-74.829945,40.839542,-74.829945,40.801067,Polygon
01c8236873d376f9,3,"Newfoundland, NJ",city,-74.451272,41.042603,-74.451272,41.053962,-74.434899,41.053962,-74.434899,41.042603,Polygon
87c0309373176f40,3,"Garwood, NJ",city,-74.333881,40.642222,-74.333881,40.658141,-74.312404,40.658141,-74.312404,40.642222,Polygon
011a36865b9fd64f,3,"Jamestown, RI",city,-71.392369,41.482005,-71.392369,41.573661,-71.359469,41.573661,-71.359469,41.482005,Polygon
00181f816c6b2796,3,"McGuire Air Force Base, NJ",city,-74.615115,40.000153,-74.615115,40.058691,-74.559589,40.058691,-74.559589,40.000153,Polygon
96b8077d31deaabc,3,"Tappan, NY",city,-73.977858,41.005898,-73.977858,41.044914,-73.921783,41.044914,-73.921783,41.005898,Polygon
07d9d2481e083000,3,Legislative Office Building,poi,-72.684537,41.763978,-72.684537,41.763978,-72.684537,41.763978,-72.684537,41.763978,Polygon
07d9d21d66c87003,3,New York Society for Ethical Culture,poi,-73.979901,40.771211,-73.979901,40.771211,-73.979901,40.771211,-73.979901,40.771211,Polygon
8ddb97278a8c8202,3,"Prospect Park, PA",city,-75.316204,39.875741,-75.316204,39.896176,-75.298495,39.896176,-75.298495,39.875741,Polygon
6757b2789b0ae8c4,3,"Lenox Hill, Manhattan",neighborhood,-73.96247,40.763645,-73.96247,40.772962,-73.948124,40.772962,-73.948124,40.763645,Polygon
4e2004a5e0c81b9e,3,"Sunnyside, Queens",neighborhood,-73.950619,40.728402,-73.950619,40.753861,-73.909452,40.753861,-73.909452,40.728402,Polygon
07d9e39bd6485002,3,Pier 59 Studios,poi,-74.008884,40.745518,-74.008884,40.745518,-74.008884,40.745518,-74.008884,40.745518,Polygon
2c56492c8eda6561,3,"Fort Greene, Brooklyn",neighborhood,-73.983441,40.681945,-73.983441,40.693723,-73.968666,40.693723,-73.968666,40.681945,Polygon
7d669c416649f514,3,"Fairview, NY",city,-73.804734,41.038318,-73.804734,41.049872,-73.785618,41.049872,-73.785618,41.038318,Polygon
934d465ac8227bb4,3,"Westhampton Beach, NY",city,-72.66205,40.79498,-72.66205,40.832789,-72.625608,40.832789,-72.625608,40.79498,Polygon
5fc3d39c8afab740,3,"South Windham, CT",city,-72.214569,41.6561,-72.214569,41.707374,-72.157608,41.707374,-72.157608,41.6561,Polygon
642ee7b241c48c18,3,"River Vale, NJ",city,-74.02572,40.981253,-74.02572,41.046397,-73.985652,41.046397,-73.985652,40.981253,Polygon
a542766baced9d1a,3,"Harrington Park, NJ",city,-73.998705,40.974283,-73.998705,41.006859,-73.962877,41.006859,-73.962877,40.974283,Polygon
af61a05e03f3df8e,3,"Clementon, NJ",city,-75.00367,39.792883,-75.00367,39.815026,-74.965722,39.815026,-74.965722,39.792883,Polygon
92291a71f0bfba69,3,"Bear, DE",city,-75.716794,39.599414,-75.716794,39.638355,-75.645751,39.638355,-75.645751,39.599414,Polygon
07d9f0fbba885003,3,Permanent Mission of Canada,poi,-73.969679,40.752499,-73.969679,40.752499,-73.969679,40.752499,-73.969679,40.752499,Polygon
01fd51395038e02e,3,"Bradley Gardens, NJ",city,-74.687875,40.547704,-74.687875,40.599992,-74.647892,40.599992,-74.647892,40.547704,Polygon
0051318277c67fba,3,"Mattituck, NY",city,-72.568528,40.974901,-72.568528,41.020035,-72.5,41.020035,-72.5,40.974901,Polygon
00627b884512b296,3,"Old Lyme, CT",city,-72.342044,41.306378,-72.342044,41.369005,-72.282366,41.369005,-72.282366,41.306378,Polygon
57fc264aa8b4ce6d,3,"Winthrop, MA",city,-71.011197,42.343839,-71.011197,42.391664,-70.952934,42.391664,-70.952934,42.343839,Polygon
07d9dafc6b483001,3,Somerville High School,poi,-71.097436,42.38686,-71.097436,42.38686,-71.097436,42.38686,-71.097436,42.38686,Polygon
936bff254f646fa6,3,"Bayport, NY",city,-73.07502,40.724505,-73.07502,40.774167,-73.037752,40.774167,-73.037752,40.724505,Polygon
138d9f2f9f0abbf3,3,"Hyde Park, Boston",neighborhood,-71.146101,42.227797,-71.146101,42.278987,-71.097553,42.278987,-71.097553,42.227797,Polygon
e89127ee2e77eb10,3,"Ocean Grove, NJ",city,-74.016051,40.206862,-74.016051,40.217105,-74.000008,40.217105,-74.000008,40.206862,Polygon
f129458876b482f0,3,"Folcroft, PA",city,-75.290165,39.875507,-75.290165,39.907397,-75.262562,39.907397,-75.262562,39.875507,Polygon
a872f5d68a43ed5d,3,"Spring Lake Heights, NJ",city,-74.053978,40.14008,-74.053978,40.165398,-74.032147,40.165398,-74.032147,40.14008,Polygon
ef7d5a3592adbcc7,3,"Brunswick, ME",city,-70.020003,43.868253,-70.020003,43.949801,-69.856736,43.949801,-69.856736,43.868253,Polygon
01528dec631201d0,3,"Montauk, NY",city,-71.981268,41.019822,-71.981268,41.076793,-71.906946,41.076793,-71.906946,41.019822,Polygon
0b457456fb6eb9a1,3,"Bath, ME",city,-69.841756,43.866802,-69.841756,43.950959,-69.809925,43.950959,-69.809925,43.866802,Polygon
012debfd1a2854a9,3,"Lewisboro, NY",city,-73.585843,41.194098,-73.585843,41.304791,-73.500133,41.304791,-73.500133,41.194098,Polygon
0008c4db5b3bf63f,3,"Piermont, NY",city,-73.932012,40.997296,-73.932012,41.051853,-73.896359,41.051853,-73.896359,40.997296,Polygon
01183c76368e2089,3,"Fairfield, NJ",city,-74.249464,40.175271,-74.249464,40.216183,-74.195024,40.216183,-74.195024,40.175271,Polygon
01e5937c70b301eb,3,"Ellington, CT",city,-72.518573,41.856913,-72.518573,41.953972,-72.430389,41.953972,-72.430389,41.856913,Polygon
01a185496ee1a38e,3,"Neshanic Station, NJ",city,-74.741009,40.505428,-74.741009,40.511447,-74.726607,40.511447,-74.726607,40.505428,Polygon
43420f498ac6f089,3,"Beverly, NJ",city,-74.931607,40.057217,-74.931607,40.069093,-74.911441,40.069093,-74.911441,40.057217,Polygon
07d9ec766d883000,3,CUNY Graduate Center,poi,-73.984377,40.748724,-73.984377,40.748724,-73.984377,40.748724,-73.984377,40.748724,Polygon
00c0c2122e7cc6cf,3,"Hainesport, NJ",city,-74.861315,39.958338,-74.861315,39.999377,-74.800876,39.999377,-74.800876,39.958338,Polygon
2065983637b28e3a,3,"East Newark, NJ",city,-74.165166,40.747328,-74.165166,40.754233,-74.157434,40.754233,-74.157434,40.747328,Polygon
954a1877ad89d0b1,3,"East Norwich, NY",city,-73.544408,40.838898,-73.544408,40.862906,-73.518809,40.862906,-73.518809,40.838898,Polygon
07d9c92905483000,3,Whitney Museum of American Art,poi,-74.008884,40.739454,-74.008884,40.739454,-74.008884,40.739454,-74.008884,40.739454,Polygon
00a2eb627179961d,3,"Mickleton, NJ",city,-75.282175,39.778322,-75.282175,39.824339,-75.202704,39.824339,-75.202704,39.778322,Polygon
2cc8a0551c54264b,3,"Great Neck Plaza, NY",city,-73.734877,40.780687,-73.734877,40.791316,-73.715493,40.791316,-73.715493,40.780687,Polygon
9b64480b1b553193,3,"Plymouth, PA",city,-75.9671,41.230558,-75.9671,41.249934,-75.933462,41.249934,-75.933462,41.230558,Polygon
c3016cf522ec864b,3,"Southwood Acres, CT",city,-72.601415,41.938274,-72.601415,41.983813,-72.51596,41.983813,-72.51596,41.938274,Polygon
9292cc27567bb41d,3,"Montgomery, NY",city,-74.255972,41.508138,-74.255972,41.532784,-74.219524,41.532784,-74.219524,41.508138,Polygon
07d9ca4357886002,3,Permanent Mission of Indonesia to the United Nations,poi,-73.972567,40.746891,-73.972567,40.746891,-73.972567,40.746891,-73.972567,40.746891,Polygon
01bfa05d5245ef8a,2,"Salisbury, MA",city,-70.914656,42.81572,-70.914656,42.886824,-70.811374,42.886824,-70.811374,42.81572,Polygon
07d9eabbe6487001,2,Max's Best Bootcamp,poi,-73.434119,41.390992,-73.434119,41.390992,-73.434119,41.390992,-73.434119,41.390992,Polygon
07d9c93109c80000,2,New York Penn Station,poi,-73.993576,40.750795,-73.993576,40.750795,-73.993576,40.750795,-73.993576,40.750795,Polygon
7a4dc28fd3f5e358,2,"Steinway, Queens",neighborhood,-73.928093,40.767746,-73.928093,40.790938,-73.89112,40.790938,-73.89112,40.767746,Polygon
006dafcb3314c984,2,"Paxton, MA",city,-71.952663,42.281239,-71.952663,42.324272,-71.878872,42.324272,-71.878872,42.281239,Polygon
07d9e681cd488000,2,South Plainfield Senior Center,poi,-74.414757,40.581914,-74.414757,40.581914,-74.414757,40.581914,-74.414757,40.581914,Polygon
07d9d664d5c86000,2,Nederlander Theatre,poi,-73.988177,40.755681,-73.988177,40.755681,-73.988177,40.755681,-73.988177,40.755681,Polygon
